non-terminals,"!=","(",")","*","+",",","-","/",";","<","<=","=","==",">",">=","ID","NUM","[","]","else","if","input","int","output","return","void","while","{","}","$"
program,"ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","1","ERROR","ERROR","1","ERROR","ERROR","ERROR","2"
declaration_list,"ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","3","ERROR","ERROR","3","ERROR","ERROR","ERROR","4"
declaration,"ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","5","ERROR","ERROR","6","ERROR","ERROR","ERROR","ERROR"
declaration',"ERROR","9","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","7","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","8","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR"
var_declaration,"ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","10","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR"
var_declaration',"ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","11","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","12","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR"
params,"ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","13","ERROR","ERROR","14","ERROR","ERROR","ERROR","ERROR"
param_list,"ERROR","ERROR","16","ERROR","ERROR","15","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR"
param,"ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","17","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR"
param',"ERROR","ERROR","19","ERROR","ERROR","19","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","18","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR","ERROR"
